Emotion_value,Text_data
joy,feel like regained another vital part life living
joy,went teacher said im gon na step outside second im really feeling well
fear,pray hurting feeling afraid tonight finds peace soon
fear,could feel getting shaky feeling
sadness,feel crucified heartbroken tortured forsaken ever felt hands enemy hands love
joy,feel like important thought
joy,want people feel brave want society accept us disabled people amongst us deserve dignity respect shunned laughed
anger,im feeling awfully spiteful right
sadness,guess cant see wed feel bit unwelcome
sadness,stay feel foolish
anger,would like reduce amount jealousy feel god commands us jealous feel every jew religious obey prohibition
fear,feel highly intimidated get flustered cant form words even english
fear,feel reluctant talking current situation know feel guess important know situation know go
joy,learned foundry childhood humor made perfect shield keeping people bay helping conceal true feelings lending appearance truth lies would tell happy providing wherewithal get day
sadness,id never woke feeling stressed
sadness,feel terrible lady driver though
sadness,pretty trying adolescence time im put situation im made feel inadequate makes revert right back shy awkward teenager low self esteem high school
joy,told feel satisfied good standing powers
joy,actually feel really eager
sadness,im sitting belmont library listening hold tight electric light orchestra feeling bit discontent
joy,feel welcomed
joy,shut door feel triumphant
joy,feeling pretty wiped mentally amp physically determined get oxygen brain
joy,said recent interviews two guests next alcest album today feel glad reveal first one
anger,roommate rude
sadness,watched face contort sadness began feel regretful actions
sadness,stumbling quote quote urging really feel meant away hated day job dedicate efforts matters
joy,prayed trust god desire feel divine sense home
sadness,found feeling worthless waste time
joy,feel totally carefree around
joy,go details long night woke bus feeling like could barely stand trusting pit stomach
joy,feel incredibly graceful sexy pose say
sadness,feel unimportant even way still place making decisions voicing opinions certainly place sharing feelings
anger,learning step back call proud admit yes feeling annoyed yes tell
sadness,want avoid feeling disliked
sadness,feel pretty lame typing upper body weak
sadness,feel needy
joy,feel think respected
anger,feeling little like cold coming
joy,wan na say last three months feel happy blog
sadness,left feeling defeated like nothing accomplished day complete waste time amp energy
anger,always feel always understand people hateful harmful towards hurting taught wrongly hurt want go back undo pain childhood bigotry binds lives path
joy,wake morning feeling like days sloth keen get geared head higher altitudes
joy,feel like character precious
sadness,feel like one girls school hated outfits perfect everyday went shopping week
joy,fought could feel trusting man patient cool confidence
sadness,feel like essence work drained soul hopefully soon find escape work better path seem stuck cliquey get move want roll like
anger,feel tortured something
joy,feel suffocated yet charmed brain pauses logic
sadness,feeling groggy super tired fall ended staying home thanksgiving instead making hour trip see jimmys family
fear,coped barely twenty four hours feeling wrung distraught
joy,feel father wants tell pleased
joy,uploaded put link previous post good six days feel gracious enough upload
joy,wanted feel assured
joy,feel like copying handsome boy say yay fun
sadness,sorry feel deserve blamed friends pick better friends could hanging getting high drunk underage
anger,feel dangerous portray angels walking earth intermarrying humans
joy,feel excited something soley video
sadness,feel like doomed gladiator stadium constructed cardboard copies romeo juliet outsiders screaming blood
sadness,hated day job months feeling like cosmically punished good deed getting ready quit met woman would become wife
sadness,feel ashamed let come far
sadness,feel little ashamed low expectations first place
sadness,feel like im terrible person hes going hate thinking things
joy,flung suitcase last minute break crossing explode pressurized cabin thus far feeling pretty splendid things
joy,need listen song angry feel accepted time
sadness,find seeking yearning love acceptance people provide disappointed alone feeling unloved unworthy
joy,know feeling sure
sadness,feel like hopeless helpless worthless scum
joy,feel blessed lisa god friends life
anger,stopped feeling bitter sorry lost work work started getting better rather continued get better
sadness,still feeling little remorseful didnt break buy
anger,feel stressed
joy,feel like intelligent enough teacher
fear,fully enjoy music feel afraid using headphones
anger,feel cranky right
joy,feel festive sitting address book list christmas songs background writing personal message one congratulations exam results
fear,feel pretty insecure current relationship
sadness,enjoy hearing faith stories believers sometimes stories leave feeling inadequate guilty
sadness,feel like ending life like song damaged something
sadness,feel totally rejected
sadness,say feel guilty begins giving reasons benefits assertive without aggressive
sadness,feel jaded
fear,feel little strange chasing since im disappointed brand whole
sadness,fact taking feels regretful done
sadness,feel embarrassed
joy,perceive feel dint pity gracious drops
sadness,always feel slightly worthless almost self condemning like amounting saving world one day time preacher podium counselor teen single struggling mom writer motivational speaker super mom baby boy
anger,feel violence petty impractical
joy,love tall guys make feel little innocent however innocent last thing night
fear,feel strongly line want draw sand speak afraid especially point bring feel conclusion entail etc
sadness,feel civilly disturbed class delicious title share del
fear,still feel little shaky times move slightly odd jades hair particular seems prone generally works well spencers writing
sadness,feel dumb plot idea
anger,feel cold drained time im either hungry tired cold moment sort sucks
anger,leave hair alone im feeling impatient
joy,love colors way yarns feel also love supporting small businesses allows provide quality products shop
sadness,reliving feelings rejected less good enough years ago
joy,feeling quite casual day
joy,feel like successful independent woman la destinys child
sadness,feel guilty family friends made introduction job somehow even feel guilty boss even though fooled lied
joy,remember feeling amused sensing real danger however must experiencing little bit shock
anger,feel greedy idealistic expect would want talk proported best friend might happy
fear,im feeling little gun shy
sadness,feel bit stressed get take two rescue tablets
sadness,feel im hated
sadness,feeling morose right hate little things like enough power distract day day life
sadness,afraid clean nicos ears doctor showed didnt feel like could hurt
anger,feel lot less irritable
joy,tend think kinda contributed medium intelligence made understand feel things clever sensible way visual arts field especially always feeling losing
joy,think lot fun meeting players expectation making player feel clever making seem like clicking option know
joy,ive vomity shocked feeling jealousy something want keep feeling definitely something want get resolved soon possible
sadness,like read feeling inadequate know mistakes happen sometimes perfect mistake
anger,felt control hated feeling felt control hated hating hated got worse walking work haze trying curl pavement
joy,feeling balks soup divine enough finish
joy,feel festive
fear,ill smoke cigarettes im feeling little nervous
joy,may feel hopeful many days truths must call mind lord portion therefore hope
sadness,feel heartbroken vunerable sick tonight
fear,im feeling indecisive turning eighteen hey age come ups downs right
anger,stop feeling mad stop behaving like
anger,invite send email detailing ways feels ive wronged promise post unedited outside names blog
fear,feeling reluctant whole day today thing feel like sticking ass benches ground heart heart talks favs staring space nothing
fear,im feeling confused ill keep trudging
anger,im feeling quite cold actually
anger,happened could get school initially wanted
anger,feel suddenly got mad mom
sadness,could also feel bad able keep
fear,feel scared stupid
joy,feel like relationship revovles around sex wants really adventurous trying new things using toys etc ansi find exhausting trying keep
fear,feel still end nervous naughty butterflies flying around stomach
anger,feel angry thinking much government gulped away money
joy,feeling bit adventurous put red lipstick rouge artist intense make ever
anger,idea particular region seems lack visibly necessary outer carniola well feel actually somewhat bothered possible evidence lack suburban spirit
joy,im putting palm blowing hoping gets ears universe feeling little generous day reaches
joy,feeling generous pick reason like make sure take wise mothers advice dont feel need drag court
anger,used get worthless feeling like said previously gear going ebay catch bothered go think little fish thin ground dejected angry
sadness,understand logic student congress cant help feel thats really really really boring
fear,feeling unsure words also means writing good
joy,want someone people approach feel accepted judged feel people feel judged
anger,woman feels greedy wants kairi
sadness,admit even though feel horrible
anger,feel almost angry fed like lab rat many years
sadness,feel totally drained emotionally physically holy spirit never ceases fill speak
anger,feel getting agitated something insignificant feeling bored going remember quote
fear,im waiting paper gown plastic slippers call feeling apprehensive bit dopey head due lack food
joy,also intended study happen either feeling little less virtuous amp holier thou would actually done something constructive past week
fear,notice lump feel pain part body somehow become fearful scared
sadness,came away feeling felt unfortunate cheated
sadness,feeling regretful didnt get time
anger,usually tell feeling frustrated whatever reason ask help fix
joy,always feel delighted know many people inspired love old fashioned graphics illustrations
fear,went movie feeling skeptical slightly nervous going disappointed
sadness,feel without disturbed
sadness,im feeling little saddened troubled sorry couple friends wish could give big hugs
anger,hate shopping feel rushed hoards people
anger,id feel like heartless bitch didnt share anybody
joy,understand students must pass mcas fulfill tasks idealized freedom writers students respond better learn understand faster feel respected valued excited education
sadness,always forgive still feeling hurt
anger,feel frustrated upset demotivated dont see whole picture curriculum im studying example english class
sadness,im trying focus feeling sorry upset loss material possession
sadness,im feeling disillusioned right
fear,beginning feel startled little last week remember
joy,feel superior actually know president
sadness,feel like books pick going dull boring comparison
sadness,took steps immediately remembered feeling water broke jack
joy,feel passionate artistic settled craft
anger,cant let feeling one blink im heartless person like give lot change give lot change come change decisions give lot change find threw like crap
sadness,im feeling little stressed
joy,also feeling really pleased decided well cajoled bullied ordered go running evening
joy,slowly paying debts feel generally happy im
anger,need take advice advice many many writers admire get butt chair every day even youre feeling distracted stressed whatever
joy,need tell someone feel gorgeous
anger,feel rude ignoring plea help fault
anger,never feels insincere little nosy get hint something might wrong want jump get details
sadness,love museums although love art feel dumb knowing paintings
joy,ive admit im feeling excited yet unprepared surgery
anger,feel like im enraged
sadness,feel dumb even liking
fear,im sure ill also feel bit nervous
sadness,feel getting triggered emotional eating sick either cold virus plain old stomach flu
fear,could listen hours without feeling either threatened slightest bit shocked
joy,feel divine envelope watch literally hundreds faithful mass line eucharist hundreds people include professors homeless bankers students rich poor mentally ill healthy conservatives liberals gay straight sweet rude arrogant kind
fear,im feeling little uptight pinched today
joy,like much feel like somehow term becomes popular future
joy,im also feeling energetic able keep going better part day
joy,feel generous evening id like share pie crust recipe help struggled trying make pie
joy,writing remember feeling assured wasnt dead checking window mom started fighting
sadness,already feeling homesick country isnt mine
anger,feel selfish want keep baby close awhile let rest world unless feel like
sadness,liked keyboard kicked teeth feeling lousy writer want know improve wonder wrong earn one star
joy,feel less successful pieces two front covers images used taken movie stills
fear,emotions learned feel let become agitated excited means heart heat jumps regulated limits sustained
joy,feel confident blessed children lords timing
sadness,pleased little disturbed guess feelings melancholy lead right back thing brings
joy,feel like conor sincere
fear,know let words flow like blog still feel pressure making unsure skills
joy,may feeling generous normal really think lot teams well drafting good players good spots filling needs
joy,ill let huge dieting secrets im feeling festive giving right
joy,feel though determined annoy know dont want listening radio
joy,feel like never graceful
sadness,feeling stressed
joy,feel super strongly
anger,feel cold winter
joy,feel look gorgeous beautiful sexy
joy,im feeling triumphant may high five choose mind ill laugh
joy,longer wear shirts without feeling like supporting totally different band
joy,ive without home without somewhere feel truly welcomed safe
fear,feel control less frightened headaches migraine attacks excellent service
joy,feeling extremely contented decision home educate
fear,guess trick need go strong get want feel bashful
sadness,bit nervous focus faces feeling unpleasant wanted put joke start especially since involved key note speaker thought funny
joy,really dont like whole harvest time feel im keen spending time morning attempting style hair completely ruined within minute walking outside damp air
joy,feel wonderful thing called minute breathing space stop time day even driving along motorway middle important telephone call
joy,said dont know believe important day ever lived want share feel important day life
joy,feel time frame going properly keen plenty probably could repeat lady may possibly grin well claim girl loves well
anger,feel bitchy suddenly
joy,feel like taken role grandmother since beloved grandma longer
fear,like finish positive note whenever feel bit fearful remember something nice rich cheers
sadness,feel defective something
anger,feel really petty moment extremely angry im broke moment sort pisses
joy,feel lucky opportunity
joy,enjoy life wish help many people possible feel fabulous show way
sadness,failing perform expected duties worrying things may forgotten yesterday starting feel rather crappy
sadness,sighed feeling like doomed fail sort thing
sadness,said quietly tired feel anguished anything resigned
fear,feel apprehensive week probably one likely unavoidably show shortcomings runner
joy,feel law states suggestions optimistic beneficial employees specially wish rapidly ramadan said
sadness,feeling melancholy cloudy rainy lonely easter sunday
sadness,feel like look really ugly people think look retarted
joy,already feel bursts hesitations last year mellow engaged rhythmic hops forward like
anger,feel petty saying shes fucked technically doesnt get gift
joy,feel like ten many sites keep entertained daily basis
joy,horrible day decided would feel better didnt red hair anymore immedietly went wal mart found box hair color description soft dark brown
fear,go little tiny andover take walk night feel absolutely terrified
fear,really like lot think great fit love talking patients trying help feel less nervous least someone cares minutes
joy,love doesnt always feel brave
sadness,live number two definition already trouble engaging evening feeling reason aim achieved unsuccessful
joy,feel whos work worthwhile world actually makes cry
joy,girlfriend sent letter shiny picture
joy,im feeling joyful spiritually fit
sadness,feel jaded often
anger,feel grouchy short tempered guilt kicks
fear,feel like time anyone gets ring intimidated arms legs dont even really try
anger,feel hateful alone
sadness,feel highly burdened incapacitated stupid flaring legs
joy,feel fabulous
anger,would watch feel frustrated realize fifteen feet away ocean freaking wave crashing covering majority earth ocean
fear,find downright amusing times feel slugged vulnerable spot knowing never daughter
sadness,wear anything feel bad
joy,feel style charming creepy macabre drinks fountain
sadness,definitely recommend anyone feeling depressed anxious
joy,feel like im still caught rat race living morally acceptable life without actually anything serve live fire consuming heart
joy,feel awfully blessed
sadness,beloved grandfather died
anger,im happy kitchen feels like someone rushed cut corners
joy,feel like another one underrated records album going popular amazing record nonetheless
fear,feel doubtful even struggling bit faith even times seem dark feel alone know god
sadness,feel awful thoughts running around head help
sadness,feel inside vain
sadness,keep feeling sometimes one fake till make
joy,feel smug added hardships last five years rounded sum nice even number
joy,normally associate tough workout moving side side bed become effort sleep pretty interrupted uncomfortable general although much better aid benadryl times feel like could never energetic
joy,naturally feel like better player
anger,feel angered
sadness,go work im feeling low ill feel worse nothing thinking e
joy,feel fantastic find renewed sense strength endurance
joy,know someone needs feel respected else maybe deep worries hes worthy respect hes insecure comes
sadness,found site huge help keep moment im feeling stressed missing drinking
joy,feel something valuable herzog study particularly relates idea art media influencing society culture
joy,sit deck soak warmth sun sometimes feels ok world still standing even though
sadness,think might lacking judgment matters doesnt feel like going go away unfortunate regretful way possible
sadness,turn feeling ridiculously awkward self conscious face zayne
joy,want feel energetic bit exercise every day minutes feel awake energized focused
joy,already feel becoming casual fandom
fear,kept research bathroom renovations research resulted feeling confused ever go tackling felt like mammoth task
anger,kind angel sometimes also mean devil used use harsh words feel irritated
joy,want feel maybe something feeling convinced nvm state mind due deliberations
joy,im firm believer nothing makes woman feel much terrific great trip salon lift spirits bit
joy,always feel invigorated listening win war predatory school deform
fear,asylum seeker know live country without feeling assaulted
sadness,often feel submissive open honest desires needs regular basis
joy,feel calm
fear,ive feeling reluctant intermittent lacklustre pen thoughts
sadness,feel numb moment
sadness,think still feeling little groggy
anger,feel like im violent mother
sadness,sure feel sorry happened friend diego friend right
joy,write still vaguely spacy feeling im sure ill effective human
joy,ever get married everything ready offer got together go clubs even perfect good looking guys feel intimated talking clever self
anger,feel like cant take anymore told boyfriend furious
sadness,ive found feeling low times sad
sadness,woke feeling pretty rotten weekend morning even though yesterday felt fine
sadness,nauseous dizzy feel gloomy least attached body anymore
sadness,struggling feeling damaged
joy,general feeling particularly virtuous month
joy,im feeling adventurous laundry hamper
joy,feel blessed years thankful learned
sadness,still pretty much feel ashamed certain disappointed weaknesses know fact angry upset one situation
joy,feel less valued cause dont look good
joy,feel joy excitement opportunity receive vital ordinances
joy,feel phrase implies calm orderly procession would remove refuse
sadness,eat allow one naughty item choice avoid feeling deprived
fear,proclaim lost bit sanity feel shaky
fear,told continues fact feel fear frightened correction terrified next
fear,feel uncomfortable fact powerless moment
fear,child suffered nightmares even since
anger,feel resentful really work resentment blow
anger,feel fucked days
sadness,worked monday tuesday feeling crappy wednesday went home decided make rest day
joy,feel point equally important
sadness,spent day day feeling morose every awhile would hit hilmari dead
sadness,feel gloomy independence day
sadness,feel almost embarrassed contribution ridiculously unsophisticated pretty much immune alteration things happening
sadness,way complaining whining feeling ungrateful
fear,fascinated feel uptight many challenges life
joy,feel better
sadness,dont know crazy girl think name katja living feel like real life sort disheartened disallusioned clerk
joy,want feel like reading something worthwhile
fear,felt low point missing people know love feeling helpless
fear,remember beauty truly eye beholder people see beautiful compliment statement valuable find person people want kick someone feeling vulnerable
sadness,thinking everyones future feel alone useless wondering hell wrong feel like roommate nothing else
anger,know mean harm cant help feel offended
fear,feel intimidated college people home
sadness,feel like band broke without telling fighting keep everyone together even though want part
sadness,ive trouble sleeping anxiety causing social life suffer lack motivation used drive work quickly becoming chore satisfied feel dull uninteresting
joy,feel like reading anansi boys gorgeous
anger,feel violent im paper tiger
sadness,feel bit ashamed taken us nearly month build thing nathans crazy work schedule limited abilities power tools able work short spurts time
sadness,feel useless standing sidelines like wet lettuce someone something quite capable
sadness,feel like emotionally beaten pulp
fear,go son conference next week already feeling nervous apprehensive
anger,feel disgusted continuing something wants life
anger,intensely conscious much cash left gas food envelope still intended save next week helps feel stressed scared
joy,feel mellow calm
joy,im feeling little adventurous
sadness,feel really lame
joy,leave feel invigorated
joy,made sets wedding rings recently always feel honored asked make probably personal piece jewellery anyone ever buys
sadness,pregnant first remember thinking lot feel sentimental time passing quickly would another pregnancy yes one crazy people loves pregnant
sadness,needed supportive caring understanding loving made feel broke despite could tell stressed whatever place held heart longer kept
joy,like type assumptions makes feels bit positive
sadness,sort feel lame comparison bloggers
fear,chose share little personal snippet phone know one feels way know one petrified face
joy,remember totally different feel faithful dukes watcher growing
sadness,ive found end feel like missed winter
sadness,feeling discouraged lately quick visit sister nephew weekend definitely cheered
sadness,feeling sorry someone made fun outfit
fear,feel uncertain entirely safe
joy,feel like audience smart enough knows characters well enough figure reading
sadness,feel regretful things remember drunk
joy,feel like im joyful maybe hormones act like feel never lie
joy,feel chased away friendly hand clutched mine
joy,im feeling brave would nice black tips
joy,feel needs respected sake
sadness,however feel lot isolated distant many call friends
sadness,felt aching feeling anymore think dont aching feeling unless missing family
joy,feel like sequel ok overrated great many deem
joy,feel im pretty spot instance im guessing
fear,know thats true thats feel get scared
joy,im feeling generous entirety free consumption
anger,feel answer completely un sarcastic way
joy,feel cute
joy,first visitor live journal makes feel pleasant
joy,feeling eager press
fear,wish could huge collective book club think conversations critical time people feeling increasingly fearful unsettled disconnected
joy,feel little relaxed
anger,feel like less person constantly hear family members use hateful language every time anything even remotely related homosexuality comes
joy,havent feeling fantastic week thought id something different easier write thought could fun
anger,feeling frustrated
joy,created new profile feel ok cuz already know added
joy,feel thankful part country train outdoors late year bundle wear several layers
fear,feel like uncertain things certain
joy,feel energetic fresh great things eye sight improved lot
fear,million untrieds get ive decided make list im using random number generator im feeling indecisive
sadness,also feeling awful
sadness,already feeling burdened write write write
anger,feel times less bitchy
sadness,feel rejected anymore decide value
sadness,felt resonance words feel ashamed feelings seem gotten better
anger,feel irritable guess classic symptom depression
anger,sat windy beach feeling thoroughly annoyed vowed id back would climb scafell
sadness,see starting feel emotional dependence parents stop breathe
sadness,feel like alone world days feel like surrounded closed want alone
joy,like im feeling productive even though sometimes grumble time scratch butt
sadness,feel useless helpless broken
joy,im feeling quite adventurous might find quiet spot read
fear,said mom made feel vulnerable ever felt
joy,feel amused pic
fear,feel apprehensive meeting someone new particularly group situation sign everything hope found courage time comes round always far
anger,love job know surgeries emergencies always feel resentful especially sleeping
joy,feel enormously honoured included list
joy,may attempt hair coloring session later feeling brave crazy saturday nights
joy,feeling optimistic much possible next hours kids come home
fear,im feeling absolutely terrified pain trauma already battered body
sadness,went one honestly feeling sentimental family morning
joy,landed reagan airport feeling pretty good
sadness,see changes legs slimmed bit feel little disheartened visible
sadness,cat died illness us years lovely cat ill one two weeks veterinary surgeon told us dying
sadness,feel roster looks messy characters new members might look though cant bothered housekeep risk albeit small might get ebayed toon turning guild old members toon
sadness,feel worthless maid
sadness,feel lousy seem frown remember funny times turn upside
joy,could say make anyone feel better actually reaching goal
fear,feel agitated said continued corner main hastings saw three four cops middle take friend anxiety disorder insisted get wrong bus get away
sadness,almost fall asleep feel awkward sleeping beside
sadness,feel blank loss hey old hat
anger,people harrass feel oppressed behavior
joy,going little selective let read privacys sake relate want read feel motivations safe okay send invite
sadness,dream feel like finally burdened things feel crushing im awake
fear,feeling incredibly restless
anger,feel enraged want punch years old
sadness,feel submissive
fear,ive feeling really pumped running strange
sadness,didnt feel discouraged depressed though always challenges sure
joy,landed dubai started feel ok coming
joy,feel useful
joy,feel contented small old rich tired happy
joy,wish could help take pain anguish families must feeling innocent children killed school safe
anger,grappled guilt relatives friends usually communicate would feel like ignoring felt selfish still posting burlesque blog updates without liking photos links
joy,tired hearing unique communications special feelings sincere
joy,feel blessed able help
anger,used feel music gone replaced bitter taste mouth lot sadness
sadness,feel really discouraged hope thing hold onto
fear,also feel vulnerable left bed virtual silence
joy,really feel innocent kids taught unconscious racism taught overt racism choice follow
fear,feel intimidated wide open design therefore find hard write
sadness,feel like awkward year old days really feel like grown
joy,wanted feel convinced truly found place world without man considering book started ended relationship thoroughly convinced
joy,faith feel convinced asking questions
anger,feel want need know need bleed fucked world
sadness,could soon feel quite rejected
sadness,feel pain nothing blank speechless
joy,feel honored insulted
anger,felt little bit cramping feelings feeling weeks bothered
sadness,id always proud im coming sometimes feel im dorky boring hipster wrong way awkward wonder dont people feel close
sadness,feel like useless bastard
anger,feel students classroom hostile towards display intellect like rest society
joy,feel like garbage wonderful though feel weak strong though feel like failure succeed though feel unworthy live dream ends begins
anger,feel like never get impatient around sharp objects inevitably lead tears
sadness,think could feel idiotic tried
anger,think guys feel need compensate obnoxious
sadness,feel shitty fuck
joy,feel invigorated sunshine
fear,know knew buffy one feeling nervous whole multiple dogs flight thing going pan
joy,feel like accomplishing something feel passionate life
joy,feel strong connection another human want spend time
fear,waiting girlfriend come apt mine late thought something awful happened
joy,feel glamorous
anger,ive feeling jealous lately bloggers going author readings book si
sadness,im reading sentence feeling foolish
joy,feel glad teaching nursery children special needs know study art better helped use art curriculum make lessons enjoyable interesting pupils
joy,came away evening feeling rich friend street close
sadness,came back reason mind feels blank
joy,feel like want punch handsome face
fear,incredible feeling frantic despair
anger,struggled fit work module felt frustrated times feeling blogs rushed although read great interested fellow students blogs feel havent interacted much could done definite area development
sadness,feel like gotten rejected time met
joy,feel optimistic settle long arrived
anger,feeling little stressed seriously one nothing blame
anger,feel im violent say im going accept consequences
joy,feel im back bouncy little chickie first found scene lot depth understanding world around
joy,feel convinced many factors culture kind cooking mystique
joy,feel delighted toward something could acheivment surrounding even unexpected event happen
anger,havent known sue anything like long bloater lisa feel like know one people meet click grumpy old people conversations straight away roll around laughing next minute well thats sue
joy,feel honoured chosen share
joy,could sit hours old friends catching feel like uber gorgeous
sadness,feel sad ignore pretend dont feel anything
joy,feel cared accepted
joy,think sometimes feelings obligation duty expectation get way trusting intuition guide us actual right direction
joy,feel lucky awesome life family even though belong middle class
fear,feeling shaky
sadness,im feeling unimportant sorry
sadness,feeling rejected sad
joy,feel satisfied
joy,still feel completely accepted
sadness,binge weekend energy clean house something put weeks even pills really make lose weight wanted hardly felt need eat feel totally completely exhausted
sadness,love actually made feel dismayed disappointed
joy,feel self assured need compete justify clearly well someone else
joy,hesitate give stars books feel giving stars saying absolutely perfect improvements made
sadness,ive breakdowns ive feeling depressed three four days sticking old sleeping pattern feeling pretty great best better normal
sadness,come home usually feel drained exhausted
joy,still managed feel tranquil appreciate archeological wonder
sadness,also feeling unimportant
joy,would probably dine especially feeling rich dont
sadness,got guinea pigs lived tiny flat london feeling pretty depressed life
joy,feel wholly positive
anger,feel insulted technique also proven one worst educating already read slide faster able speak
joy,feel honor precious little girls mother
sadness,feel drained least something look forward
sadness,feel discouraged shadows come heart lonely long heaven heaven home jesus portion constant friend oh eye sparrow know watches watches
anger,feel rushed prize giving really dilute event future prize givings rushed timetable
joy,asked join creating world year old girls could grow feeling hopeful powerful
sadness,im little concerned ill look one day leaves ground ill feel like missed
sadness,feel horrible result
anger,never fall love anyone feelings make dangerous
joy,feel satisfied happy choices today
joy,breathing well feeling quite lively upbeat
sadness,feel bit mournful since read bulletin one myspace friends
fear,ive feeling restless home days probably cooped school home way long
joy,breathe scent first time feel embrace friendly hug five years
sadness,instantly feel rejected
anger,feel really wronged fact hu jia good society
fear,im kind feeling nervous anxious shit today
fear,make trip feel strange combination excitement dread
sadness,certified via ace love lately feel like fake
joy,execute trick work dishwasher magic feel clever
sadness,ive posted blog feel like thats unfortunate
sadness,started feeling back aching especially lower back
joy,feel kids know theyre talented think one things whole american idol deal grab hold tell
fear,feel like distraught parents breathing neck
sadness,ive waiting get time alone quite weeks finally get im feeling bit homesick
joy,show feelings well family fans either
sadness,feel little isolated house time
sadness,feel troubled guess would best word
joy,feel quite successful achieving vision
fear,feel bashful teasing scrutiny
fear,think since im compelled act meek asian front kind feel tad inhibited extent cant even
anger,vividly remember feeling offended would even dream thing could choice
joy,feel privileged said privileged
fear,feel weird want make sure feels loved
fear,wouldnt feel uncomfortable wearing work
sadness,feeling bit disheartened one black belt instructors dojo richard asked let anyone else set destiny
joy,trying work finding joy simple thing god finding joy obedience even feel joyful way used
fear,saw pianos either newer cheaper larger always something missing made feel uncertain buying
joy,feel like become socially acceptable allow traditional views threw bus without fight youll offend someone stand
fear,another reason foreign tourists feel reluctant drive island
joy,wasnt feeling well
sadness,kind feel lame still dont regret coming
joy,notice worrying push feeling away replace thought something positive remind let go control
joy,feel super behind aspects life need read
anger,start feel become irritated conversing
sadness,remember watching feeling devastated sheer familiarity
joy,really appreciate protectiveness slight jealousy attention makes feel valued
anger,feel violent something today
sadness,feel awkward know awkward
sadness,think making feel weepy
joy,feel like need cry past days relieved could cry much tears today haha
fear,feel little bit weird
joy,feel damn complacent
fear,guess expectations goddamn perfect made feel afraid change
joy,im happy feeling something last days ive felt pretty
joy,feel happy hes reason today
joy,feel aconfident heart overcomet god wants eager learn
fear,managed whole tuesday eating clean caffeined today feeling rather shaky
joy,feel energetic motivated
anger,feeling quite impatient must hit ad thats internet died vista virus pro started bother
anger,im feeling bitchy hell tonight
joy,started feeling festive little early year
fear,feel like times like things seem little uncertain thank god small things
sadness,feel lethargic unmotivated needy frustrated
joy,keen incorporate use recovery tool feel tool useful allowing patient control mental health
sadness,feeling rather lonely
sadness,feel breeds loneliness discontent onto economy recession stressful money unemployment people wanted know caused recession topic came divorce
anger,britain louis xvi marie antoinette think perhaps feel loss russia violent entire family comparatively recent
sadness,lived lemon bars weeks weekend ate ate ate horrible food feel look horrible
anger,feel insulted see anyone wearing crocs fashionable shoe icon
sadness,feel alone feel like theres people actually listen
sadness,feel like fake eyeglasses make look older hell little authoritative
joy,take easy even feel well kind stasia saying
sadness,right make done usually wear foundation feel like look fake pictures
fear,feel like ya allah im scared puff fun man id idea
sadness,really know feeling mind blank confused numb
fear,im drunk example feel lot less shy speaking foreign language havent yet totally mastered
joy,dont know guys relate always like feel welcomed see smiling face im spa treatment
sadness,thought depression negative thoughts ive lately intervene thoughts help feel depressed
fear,feel like thing im nervous two kids
joy,havent written awhile feels terrific scribble stuff notebook time time
fear,meet men feel insecure women
sadness,feel sorry use ghd hair straightener damage hair
sadness,would feel boring rejected downright unlikeable
sadness,feel homesick miss snobbish fluffy cat
joy,go range feel like im like russell crowe robin hood merida brave
joy,feel fucking terrific
joy,continue add please feel free explore let know think
sadness,went work like normal didnt feel bad way shape form
anger,im feeling aggravated listening phoenix lost found
fear,feel bit uncertain really shes nice girl good friend material
joy,feel privileged able share artistry knowing back
joy,remember feeling belong smart enough cool enough even young enough
sadness,feeling kind discouraged nothing happened
fear,feel pain ways tortured ti could possibly understand
joy,feel hopeful best give go next week despite dozens final assignments mark
joy,last years second semester results came ecstatic
sadness,id like write something interesting right unfortunately feel deprived inspiration
joy,feel glad still teach home
sadness,feel would ungrateful god undutiful church use poor efforts side truth peace
joy,hate much feel like looking pretty damn flawless pics
anger,began feel cranky feeling hell
joy,could feel radiant heat emanating naked sex reaching longingly probing tip hardness
joy,know exactly put feel like really acceptable foist inconvenience family
anger,wrong feel angry wrong said
fear,feel slightly shaky headache
anger,feel like im whirlwind next im trying impatient wait
joy,felt distinct feeling told everything would ok things would ultimately turnout good
sadness,really feel like lot offer area would like focus troubled teenagers
sadness,run feel useless understand retirement daily struggle overwhelms often
sadness,bothered might changed feelings get back us leave heartbroken
sadness,im already feeling lethargic
sadness,feel kind vain people tell im pretty though
anger,im sorry apparently offends lot women women feel need say something rude im going anyway
fear,love taking peoples smiles way children giggle gorgeous way little ones move closer moms strangers smile feel scared way teenagers boisterous full life hopes
joy,feel really comfortable
joy,feel like manager everyday feel respected day well
sadness,feel like missed younger active would much content go outside ride bike
joy,want least feel intelligent believe becoming well read person help
anger,study visit chicken factory butchery
sadness,hurt comment made feel unimportant like wants date many women
fear,feel completely helpless anything help affected tornadoes hav
sadness,cop feeling regretful
sadness,remember moments feeling lost hopeless younger
joy,write feeling happy childish
sadness,made stupid mistake saying fine next day last time headmaster punished served make feel punished hard enough
sadness,feeling disillusioned
fear,feeling pressured
joy,ill thirty next year im feeling positive life choices im making things im putting world
joy,feel creative mind brings diversity new thinking job
